SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,Style,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,3509 NE 91st St,Seattle,WA,98115,780000,3,2.25,Wedgwood,1500,4590,1949,3,520,,Active,not right,cape cod,http://www.redfin.com/WA/Seattle/3509-NE-91st-St-98115/home/315306,NWMLS,1606215,N,Y,47.6943626,-122.2901911
MLS Listing,,Single Family Residential,3543 NE 88th St,Seattle,WA,98115,899000,4,1.75,Wedgwood,1760,5100,1943,5,511,,Active,,,http://www.redfin.com/WA/Seattle/3543-NE-88th-St-98115/home/317708,NWMLS,1606173,N,Y,47.6921913,-122.2886132
MLS Listing,,Single Family Residential,9815 8th Ave NE,Seattle,WA,98115,899000,4,2.25,Maple Leaf,2140,8064,1926,8,420,,Active,,,http://www.redfin.com/WA/Seattle/9815-8th-Ave-NE-98115/home/109480,NWMLS,1605671,N,Y,47.7009825,-122.3207791
PAST SALE,May-21-2013,Single Family Residential,532 NE 92nd St,Seattle,WA,98115,799500,4,2,Maple Leaf,2296,5000,1926,9,348,,Pending,,,http://www.redfin.com/WA/Seattle/532-NE-92nd-St-98115/home/109538,NWMLS,1605208,N,Y,47.6960101,-122.3216893
PAST SALE,September-18-2002,Single Family Residential,6553 37th Ave NE,Seattle,WA,98115,899900,3,1.75,Bryant,2360,5049,1955,10,381,,Pending,,,http://www.redfin.com/WA/Seattle/6553-37th-Ave-NE-98115/home/318151,NWMLS,1602984,N,Y,47.6773307,-122.2884479
MLS Listing,,Single Family Residential,8552 2nd Ave NE,Seattle,WA,98115,979000,5,2.75,Maple Leaf,3160,7146,1960,10,310,,Active,,traditional,http://www.redfin.com/WA/Seattle/8552-2nd-Ave-NE-98115/home/110038,NWMLS,1604071,N,Y,47.6920222,-122.3267182
PAST SALE,March-26-2020,Single Family Residential,8017 19th Ave NE,Seattle,WA,98115,1050000,3,2.5,Ravenna,2100,2869,2004,70,500,,Sold,,,http://www.redfin.com/WA/Seattle/8017-19th-Ave-NE-98115/home/309464,NWMLS,1573853,N,Y,47.6872212,-122.3082158
PAST SALE,May-11-1990,Single Family Residential,1230 NE 89th St,Seattle,WA,98115,829900,3,2.5,Maple Leaf,2580,6380,1927,12,322,,Pending,,,http://www.redfin.com/WA/Seattle/1230-NE-89th-St-98115/home/110379,NWMLS,1601274,N,Y,47.6932705,-122.3135135
PAST SALE,September-16-2008,Single Family Residential,9730 48th Ave NE,Seattle,WA,98115,990000,4,2.75,Matthews Beach,2310,8402,1997,12,429,,Pending,,craftsman,http://www.redfin.com/WA/Seattle/9730-48th-Ave-NE-98115/home/319874,NWMLS,1596873,N,Y,47.7002997,-122.2761781
PAST SALE,December-20-2004,Single Family Residential,6006 35th Ave NE,Seattle,WA,98115,925000,4,2.5,Bryant,3060,4000,1939,13,302,,Pending,,tudor,http://www.redfin.com/WA/Seattle/6006-35th-Ave-NE-98115/home/314326,NWMLS,1600648,N,Y,47.6724119,-122.2899221
PAST SALE,September-29-1993,Single Family Residential,8923 8th Ave NE,Seattle,WA,98115,975000,4,1.75,Maple Leaf,2060,5413,1941,16,473,,Pending,,cape cod,http://www.redfin.com/WA/Seattle/8923-8th-Ave-NE-98115/home/110138,NWMLS,1601731,N,Y,47.6937621,-122.32056
PAST SALE,December-10-2009,Single Family Residential,102 NE 60th St,Seattle,WA,98115,997500,3,1.75,Green Lake,1972,2496,1925,16,506,,Pending,,craftsman,http://www.redfin.com/WA/Seattle/102-NE-60th-St-98115/home/305540,NWMLS,1600746,N,Y,47.6724373,-122.3279733
PAST SALE,September-22-1978,Single Family Residential,7415 25th Ave NE,Seattle,WA,98115,925000,4,2.25,Ravenna,2420,6204,1978,17,382,,Pending,,,http://www.redfin.com/WA/Seattle/7415-25th-Ave-NE-98115/home/309065,NWMLS,1599727,Y,Y,47.6824354,-122.3010861
PAST SALE,July-8-1999,Single Family Residential,7513 15th Ave NE,Seattle,WA,98115,850000,4,2,Ravenna,1860,3800,1908,19,457,,Pending,,victorian,http://www.redfin.com/WA/Seattle/7513-15th-Ave-NE-98115/home/309156,NWMLS,1600259,N,Y,47.6834916,-122.3123023
MLS Listing,,Single Family Residential,9501 Sand Point Way NE,Seattle,WA,98115,925000,5,1.75,Matthews Beach,2260,6199,1957,23,409,,Active,,,http://www.redfin.com/WA/Seattle/9501-Sand-Point-Way-NE-98115/home/112545,NWMLS,1597297,N,Y,47.6977099,-122.2780124
PAST SALE,,Single Family Residential,8035 30th Ave NE,Seattle,WA,98115,989000,4,1.75,Wedgwood,2680,6380,1954,23,369,,Pending,,,http://www.redfin.com/WA/Seattle/8035-30th-Ave-NE-98115/home/316356,NWMLS,1597544,N,Y,47.6877287,-122.2963764
PAST SALE,August-9-1999,Single Family Residential,823 NE 82nd St,Seattle,WA,98115,829000,4,2,Maple Leaf,2290,5406,1909,23,362,,Pending,,craftsman,http://www.redfin.com/WA/Seattle/823-NE-82nd-St-98115/home/108932,NWMLS,1595572,N,Y,47.6880314,-122.319259
PAST SALE,February-23-2007,Single Family Residential,825 NE 78th St,Seattle,WA,98115,769950,3,1.75,Maple Leaf,1660,2970,1923,25,464,,Pending,,,http://www.redfin.com/WA/Seattle/825-NE-78th-St-98115/home/108729,NWMLS,1598109,N,Y,47.6851321,-122.3190671
PAST SALE,December-30-1997,Single Family Residential,3851 NE 89th St,Seattle,WA,98115,700000,3,1.75,Wedgwood,1890,6120,1945,25,370,,Pending,,,http://www.redfin.com/WA/Seattle/3851-NE-89th-St-98115/home/314925,NWMLS,1597976,N,Y,47.6929041,-122.2858017
PAST SALE,April-18-1988,Single Family Residential,9702 17th Ave NE,Seattle,WA,98115,719950,4,1.75,Maple Leaf,2180,7829,1956,26,330,,Pending,,,http://www.redfin.com/WA/Seattle/9702-17th-Ave-NE-98115/home/107661,NWMLS,1597448,N,Y,47.6995747,-122.3092634
PAST SALE,June-19-2015,Single Family Residential,4306 NE 65th St,Seattle,WA,98115,825000,3,1.75,View Ridge,1638,4725,1949,27,504,,Pending,,,http://www.redfin.com/WA/Seattle/4306-NE-65th-St-98115/home/316291,NWMLS,1595608,N,Y,47.6759809,-122.2818443
PAST SALE,April-9-2012,Single Family Residential,8051 37th Ave NE,Seattle,WA,98115,925000,4,2,Wedgwood,1800,5141,1947,32,514,,Pending,,,http://www.redfin.com/WA/Seattle/8051-37th-Ave-NE-98115/home/315489,NWMLS,1594034,N,Y,47.6880983,-122.2887784
PAST SALE,May-12-2017,Single Family Residential,7557 9th Ave NE,Seattle,WA,98115,738000,3,2,Maple Leaf,1760,4300,1924,37,419,,Pending,,,http://www.redfin.com/WA/Seattle/7557-9th-Ave-NE-98115/home/108567,NWMLS,1591229,N,Y,47.6847924,-122.3187843
PAST SALE,July-20-2011,Single Family Residential,8911 12th Ave NE,Seattle,WA,98115,824950,3,1.75,Maple Leaf,1990,5027,1928,40,415,,Pending,,,http://www.redfin.com/WA/Seattle/8911-12th-Ave-NE-98115/home/109350,NWMLS,1592201,N,Y,47.6934425,-122.3151545
PAST SALE,April-21-2017,Single Family Residential,2061 NE 73rd St,Seattle,WA,98115,889000,3,1.75,Ravenna,1900,4950,1948,46,468,,Pending,,,http://www.redfin.com/WA/Seattle/2061-NE-73rd-St-98115/home/309883,NWMLS,1590244,N,Y,47.6810988,-122.3058332
MLS Listing,,Single Family Residential,7550 33rd Ave NE,Seattle,WA,98115,899900,3,2,Wedgwood,1840,7650,1939,46,489,,Active,,,http://www.redfin.com/WA/Seattle/7550-33rd-Ave-NE-98115/home/314649,NWMLS,1590128,N,Y,47.6844993,-122.2923469
PAST SALE,August-22-2003,Single Family Residential,7301 12th Ave NE,Seattle,WA,98115,779000,2,1,Roosevelt,1600,4000,1939,72,487,,Pending,,,http://www.redfin.com/WA/Seattle/7301-12th-Ave-NE-98115/home/310188,NWMLS,1581848,N,Y,47.6816714,-122.3156327
PAST SALE,April-17-1979,Single Family Residential,330 NE 91st St,Seattle,WA,98115,799900,3,1,Maple Leaf,2980,8183,1940,76,268,,Pending,,,http://www.redfin.com/WA/Seattle/330-NE-91st-St-98115/home/109641,NWMLS,1578638,N,Y,47.6951461,-122.3241569
MLS Listing,,Single Family Residential,806 NE 60th St,Seattle,WA,98115,810000,2,1.5,Ravenna,1810,2501,1921,95,448,,Active,,craftsman,http://www.redfin.com/WA/Seattle/806-NE-60th-St-98115/home/311737,NWMLS,1569716,N,Y,47.6723901,-122.3196532
PAST SALE,April-23-2020,Single Family Residential,8201 18th Ave NE,Seattle,WA,98115,775000,3,2,Ravenna,2088,4945,1954,38,371,,Sold,,,http://www.redfin.com/WA/Seattle/8201-18th-Ave-NE-98115/home/310776,NWMLS,1582446,N,Y,47.6886604,-122.3092263
PAST SALE,May-22-2020,Single Family Residential,8003 41st Ave NE,Seattle,WA,98115,935000,3,1.75,Wedgwood,1820,5800,1950,9,514,,Sold,,,http://www.redfin.com/WA/Seattle/8003-41st-Ave-NE-98115/home/316034,NWMLS,1588812,N,Y,47.6867994,-122.2845046
PAST SALE,May-22-2020,Single Family Residential,8016 5th Ave NE,Seattle,WA,98115,730000,4,2,Maple Leaf,2470,4400,1926,9,296,,Sold,,,http://www.redfin.com/WA/Seattle/8016-5th-Ave-NE-98115/home/108457,NWMLS,1591246,N,Y,47.6873368,-122.3226912
PAST SALE,April-17-2020,Single Family Residential,7402 48th Ave NE,Seattle,WA,98115,925000,3,1.75,View Ridge,2150,6206,1944,44,430,,Sold,,cape cod,http://www.redfin.com/WA/Seattle/7402-48th-Ave-NE-98115/home/321846,NWMLS,1575588,N,Y,47.6825291,-122.2762736
PAST SALE,March-25-2020,Single Family Residential,8256 43rd Ave NE,Seattle,WA,98115,865000,5,1.75,Wedgwood,1860,8100,1949,67,465,,Sold,,,http://www.redfin.com/WA/Seattle/8256-43rd-Ave-NE-98115/home/315026,NWMLS,1559363,N,Y,47.6900678,-122.2821292
PAST SALE,March-27-2020,Single Family Residential,7019 43rd Ave NE,Seattle,WA,98115,999950,2,1.5,View Ridge,2420,5618,1953,65,413,,Sold,,,http://www.redfin.com/WA/Seattle/7019-43rd-Ave-NE-98115/home/317826,NWMLS,1565245,N,Y,47.6800177,-122.2831738
PAST SALE,April-6-2020,Single Family Residential,1734 NE 92nd St,Seattle,WA,98115,908000,4,3,Maple Leaf,2870,6327,1993,55,316,,Sold,,,http://www.redfin.com/WA/Seattle/1734-NE-92nd-St-98115/home/107149,NWMLS,1570424,N,Y,47.6959607,-122.3079528
PAST SALE,March-25-2020,Single Family Residential,9803 19th Ave NE,Seattle,WA,98115,950000,5,2.5,Maple Leaf,3640,6605,1951,67,261,,Sold,,,http://www.redfin.com/WA/Seattle/9803-19th-Ave-NE-98115/home/108044,NWMLS,1565323,N,Y,47.700495,-122.3081343
PAST SALE,May-18-2020,Single Family Residential,8047 Brooklyn Ave NE,Seattle,WA,98115,865000,3,2,Maple Leaf,2493,3800,1926,13,347,,Sold,,craftsman,http://www.redfin.com/WA/Seattle/8047-Brooklyn-Ave-NE-98115/home/108965,NWMLS,1595710,N,Y,47.6881255,-122.3145754
PAST SALE,April-7-2020,Single Family Residential,2511 NE 98th St,Seattle,WA,98115,825000,3,1,Meadowbrook,1930,8255,1937,54,427,,Sold,,,http://www.redfin.com/WA/Seattle/2511-NE-98th-St-98115/home/113342,NWMLS,1571443,N,Y,47.7000127,-122.301069
PAST SALE,April-17-2020,Single Family Residential,2701 NE 82nd St,Seattle,WA,98115,810000,3,2.5,Wedgwood,1640,6126,1958,44,494,,Sold,,,http://www.redfin.com/WA/Seattle/2701-NE-82nd-St-98115/home/316211,NWMLS,1579384,N,Y,47.6882813,-122.2978926
PAST SALE,April-23-2020,Single Family Residential,222 NE 89th St,Seattle,WA,98115,925000,3,2.75,Maple Leaf,2100,5918,1961,38,440,,Sold,,,http://www.redfin.com/WA/Seattle/222-NE-89th-St-98115/home/109784,NWMLS,1583191,N,Y,47.6933412,-122.3259396
PAST SALE,April-23-2020,Single Family Residential,7717 22nd Ave NE,Seattle,WA,98115,760000,3,2,Ravenna,1600,4400,1938,38,475,,Sold,,,http://www.redfin.com/WA/Seattle/7717-22nd-Ave-NE-98115/home/311224,NWMLS,1579086,N,Y,47.6854451,-122.3045674
PAST SALE,April-23-2020,Single Family Residential,9719 19th Ave NE,Seattle,WA,98115,945000,3,2,Maple Leaf,2300,6254,1925,38,411,,Sold,,modern,http://www.redfin.com/WA/Seattle/9719-19th-Ave-NE-98115/home/106946,NWMLS,1580226,N,Y,47.6999938,-122.308092
PAST SALE,March-24-2020,Single Family Residential,7535 36th Ave NE,Seattle,WA,98115,891425,3,1.75,Wedgwood,2000,6000,1948,68,446,,Sold,,cape cod,http://www.redfin.com/WA/Seattle/7535-36th-Ave-NE-98115/home/316306,NWMLS,1561947,N,Y,47.6841447,-122.2897688
PAST SALE,May-8-2020,Single Family Residential,1207 NE 96th St,Seattle,WA,98115,949922,4,2.75,Maple Leaf,2845,5110,1987,23,334,,Sold,,,http://www.redfin.com/WA/Seattle/1207-NE-96th-St-98115/home/109447,NWMLS,1585381,N,Y,47.6983005,-122.3144162
PAST SALE,March-31-2020,Single Family Residential,8205 20th Ave NE,Seattle,WA,98115,875000,3,3,Ravenna,2240,3800,1929,61,391,,Sold,,,http://www.redfin.com/WA/Seattle/8205-20th-Ave-NE-98115/home/310434,NWMLS,1574521,N,Y,47.6887447,-122.3070876
PAST SALE,March-31-2020,Single Family Residential,6224 23rd Ave NE,Seattle,WA,98115,1000000,5,2.5,Ravenna,3010,6271,1922,61,332,,Sold,,,http://www.redfin.com/WA/Seattle/6224-23rd-Ave-NE-98115/home/307988,NWMLS,1553961,N,Y,47.6745337,-122.3025496
PAST SALE,April-17-2020,Single Family Residential,7028 18th Ave NE,Seattle,WA,98115,960000,5,2.25,Ravenna,3000,3876,1929,44,320,,Sold,,tudor,http://www.redfin.com/WA/Seattle/7028-18th-Ave-NE-98115/home/309906,NWMLS,1577199,N,Y,47.6803163,-122.3084916
PAST SALE,May-5-2020,Single Family Residential,3848 NE 93rd St,Seattle,WA,98115,875000,4,2.75,Wedgwood,2240,5610,1973,26,391,,Sold,,,http://www.redfin.com/WA/Seattle/3848-NE-93rd-St-98115/home/315853,NWMLS,1575102,N,Y,47.6962123,-122.2857713
PAST SALE,May-22-2020,Single Family Residential,3002 NE 89th St,Seattle,WA,98115,850000,3,1.75,Wedgwood,1840,5454,1947,9,462,,Sold,,,http://www.redfin.com/WA/Seattle/3002-NE-89th-St-98115/home/317338,NWMLS,1593124,N,Y,47.6932987,-122.2957243
PAST SALE,May-22-2020,Single Family Residential,6844 43rd Ave NE,Seattle,WA,98115,871000,3,1.75,View Ridge,2440,5841,1952,9,357,,Sold,,,http://www.redfin.com/WA/Seattle/6844-43rd-Ave-NE-98115/home/315843,NWMLS,1582490,N,Y,47.678926,-122.2820154
PAST SALE,May-22-2020,Single Family Residential,3809 NE 97th St,Seattle,WA,98115,945000,4,2.75,Wedgwood,2500,7200,1967,9,378,,Sold,,,http://www.redfin.com/WA/Seattle/3809-NE-97th-St-98115/home/113032,NWMLS,1583639,N,Y,47.6990218,-122.2874741
PAST SALE,May-11-2020,Single Family Residential,9610 8th Ave NE,Seattle,WA,98115,932501,3,3,Maple Leaf,2060,5413,1925,20,453,,Sold,,,http://www.redfin.com/WA/Seattle/9610-8th-Ave-NE-98115/home/110417,NWMLS,1585983,N,Y,47.6988362,-122.3200726
PAST SALE,May-21-2020,Single Family Residential,1226 NE 92nd St,Seattle,WA,98115,870000,3,2,Maple Leaf,1920,6380,1931,10,453,,Sold,,tudor,http://www.redfin.com/WA/Seattle/1226-NE-92nd-St-98115/home/110580,NWMLS,1586541,N,Y,47.6960253,-122.3136136
PAST SALE,April-30-2020,Single Family Residential,6551 45th Ave NE,Seattle,WA,98115,895000,4,1.5,View Ridge,2620,6615,1950,31,342,,Sold,,,http://www.redfin.com/WA/Seattle/6551-45th-Ave-NE-98115/home/314681,NWMLS,1568959,N,Y,47.6773499,-122.2799434
PAST SALE,April-23-2020,Single Family Residential,1306 NE 68th St,Seattle,WA,98115,805000,3,1,Ravenna,2440,4500,1906,38,330,,Sold,,craftsman,http://www.redfin.com/WA/Seattle/1306-NE-68th-St-98115/home/309942,NWMLS,1574173,N,Y,47.6782175,-122.3142141
PAST SALE,May-13-2020,Single Family Residential,8032 42nd Ave NE,Seattle,WA,98115,750000,4,1.75,Wedgwood,1610,5310,1950,18,466,,Sold,,,http://www.redfin.com/WA/Seattle/8032-42nd-Ave-NE-98115/home/318292,NWMLS,1586709,N,Y,47.6876086,-122.2828656
PAST SALE,March-5-2020,Single Family Residential,8720 25th Ave NE,Seattle,WA,98115,800000,6,3,Wedgwood,2460,5963,1958,87,325,,Sold,,,http://www.redfin.com/WA/Seattle/8720-25th-Ave-NE-98115/home/315208,NWMLS,1549244,N,Y,47.6927223,-122.3012268
PAST SALE,March-6-2020,Single Family Residential,9225 8th Ave NE,Seattle,WA,98115,821000,3,1,Maple Leaf,1670,5413,1940,86,492,,Sold,,,http://www.redfin.com/WA/Seattle/9225-8th-Ave-NE-98115/home/109592,NWMLS,1563728,N,Y,47.6966094,-122.3205743
PAST SALE,April-14-2020,Single Family Residential,8007 16th Ave NE,Seattle,WA,98115,830000,4,1.5,Maple Leaf,2324,4301,1927,47,357,,Sold,,tudor,http://www.redfin.com/WA/Seattle/8007-16th-Ave-NE-98115/home/309960,NWMLS,1572531,N,Y,47.6869541,-122.3113469
PAST SALE,March-31-2020,Single Family Residential,3221 NE 98th St,Seattle,WA,98115,975000,4,2,Wedgwood,2020,6867,1942,61,483,,Sold,,,http://www.redfin.com/WA/Seattle/3221-NE-98th-St-98115/home/113396,NWMLS,1571828,N,Y,47.7000048,-122.2924834
PAST SALE,March-18-2020,Single Family Residential,9416 42nd Ave NE,Seattle,WA,98115,935000,3,1.75,Wedgwood,2060,5400,1946,74,454,,Sold,,,http://www.redfin.com/WA/Seattle/9416-42nd-Ave-NE-98115/home/318167,NWMLS,1563429,N,Y,47.6972336,-122.2823916
PAST SALE,April-9-2020,Single Family Residential,9424 8th Ave NE,Seattle,WA,98115,850000,3,2.5,Maple Leaf,1800,4200,1927,52,472,,Sold,,,http://www.redfin.com/WA/Seattle/9424-8th-Ave-NE-98115/home/109702,NWMLS,1577915,N,Y,47.6974357,-122.320062
PAST SALE,May-11-2020,Single Family Residential,1014 NE 88th St,Seattle,WA,98115,850000,3,2,Maple Leaf,1603,6380,1926,20,530,,Sold,,,http://www.redfin.com/WA/Seattle/1014-NE-88th-St-98115/home/110282,NWMLS,1578660,N,Y,47.6925301,-122.316967
PAST SALE,March-4-2020,Single Family Residential,8552 Sand Point Way NE,Seattle,WA,98115,950000,5,4.25,Matthews Beach,3970,5060,1999,88,239,,Sold,,,http://www.redfin.com/WA/Seattle/8552-Sand-Point-Way-NE-98115/home/319385,NWMLS,1455862,N,Y,47.6914879,-122.2684894
PAST SALE,May-7-2020,Single Family Residential,7537 11th Ave NE,Seattle,WA,98115,887500,5,1.75,Maple Leaf,2670,2980,1923,24,332,,Sold,,craftsman,http://www.redfin.com/WA/Seattle/7537-11th-Ave-NE-98115/home/108770,NWMLS,1571908,N,Y,47.6842571,-122.316542
PAST SALE,April-17-2020,Single Family Residential,6057 37th Ave NE,Seattle,WA,98115,875000,4,1.5,Bryant,1840,5000,1950,44,476,,Sold,,,http://www.redfin.com/WA/Seattle/6057-37th-Ave-NE-98115/home/314623,NWMLS,1580598,N,Y,47.6738192,-122.2882914
PAST SALE,May-8-2020,Single Family Residential,3408 NE 60th St,Seattle,WA,98115,825000,4,1.75,Bryant,2270,4750,1926,23,363,,Sold,,,http://www.redfin.com/WA/Seattle/3408-NE-60th-St-98115/home/313240,NWMLS,1581026,N,Y,47.6723606,-122.2907292
PAST SALE,May-14-2020,Single Family Residential,3023 NE 98th St,Seattle,WA,98115,799950,3,2,Wedgwood,1770,6821,1956,17,452,,Sold,,Modern,http://www.redfin.com/WA/Seattle/3023-NE-98th-St-98115/home/114003,NWMLS,1585113,N,Y,47.699992,-122.2950108
PAST SALE,March-9-2020,Single Family Residential,7717 14th Ave NE,Seattle,WA,98115,835000,3,1,Ravenna,2490,6674,1928,83,335,,Sold,,craftsman,http://www.redfin.com/WA/Seattle/7717-14th-Ave-NE-98115/home/309704,NWMLS,1560193,N,Y,47.6854735,-122.3136322
PAST SALE,March-5-2020,Single Family Residential,8810 5th Ave NE,Seattle,WA,98115,903000,4,1.75,Maple Leaf,2320,4930,1947,87,389,,Sold,,,http://www.redfin.com/WA/Seattle/8810-5th-Ave-NE-98115/home/109261,NWMLS,1554991,N,Y,47.6926033,-122.3227035
PAST SALE,March-9-2020,Single Family Residential,6510 18th Ave NE,Seattle,WA,98115,781000,3,1,Ravenna,2140,3060,1910,83,365,,Sold,,,http://www.redfin.com/WA/Seattle/6510-18th-Ave-NE-98115/home/310985,NWMLS,1561222,N,Y,47.6761968,-122.3083803
PAST SALE,April-3-2020,Single Family Residential,9224 Sand Point Way NE,Seattle,WA,98115,930000,5,2,Matthews Beach,2560,6840,1955,58,363,,Sold,,,http://www.redfin.com/WA/Seattle/9224-Sand-Point-Way-NE-98115/home/319937,NWMLS,1573162,N,Y,47.6951543,-122.2755186
PAST SALE,April-6-2020,Single Family Residential,6209 26th Ave NE,Seattle,WA,98115,976000,4,1.75,Bryant,2240,3750,1926,55,436,,Sold,,,http://www.redfin.com/WA/Seattle/6209-26th-Ave-NE-98115/home/312954,NWMLS,1566001,N,Y,47.6743201,-122.2999103
PAST SALE,March-9-2020,Single Family Residential,1227 NE 70th St,Seattle,WA,98115,984000,4,2,Roosevelt,2820,3876,1930,83,349,,Sold,,,http://www.redfin.com/WA/Seattle/1227-NE-70th-St-98115/home/310306,NWMLS,1565963,N,Y,47.6792167,-122.3144441
PAST SALE,March-17-2020,Single Family Residential,3805 NE 85th St,Seattle,WA,98115,910000,4,1.75,Wedgwood,1880,5800,1949,75,484,,Sold,,,http://www.redfin.com/WA/Seattle/3805-NE-85th-St-98115/home/314881,NWMLS,1564852,N,Y,47.6900398,-122.2871425
PAST SALE,March-23-2020,Single Family Residential,8543 2nd Ave NE,Seattle,WA,98115,870000,4,1.75,Maple Leaf,1757,7164,1954,69,495,,Sold,,,http://www.redfin.com/WA/Seattle/8543-2nd-Ave-NE-98115/home/109726,NWMLS,1567710,N,Y,47.6917437,-122.3273314
PAST SALE,April-27-2020,Single Family Residential,1557 NE 76th St,Seattle,WA,98115,975000,3,1.75,Ravenna,2820,7729,1938,34,346,,Sold,,,http://www.redfin.com/WA/Seattle/1557-NE-76th-St-98115/home/309237,NWMLS,1582348,N,Y,47.6836796,-122.3096577
PAST SALE,May-14-2020,Single Family Residential,7348 16th Ave NE,Seattle,WA,98115,779000,3,1.75,Ravenna,2206,4080,1927,17,353,,Sold,,,http://www.redfin.com/WA/Seattle/7348-16th-Ave-NE-98115/home/309671,NWMLS,1559493,N,Y,47.6826578,-122.3107501
PAST SALE,April-10-2020,Single Family Residential,8610 26th Ave NE,Seattle,WA,98115,775000,3,1,Wedgwood,1630,6216,1953,51,475,,Sold,,,http://www.redfin.com/WA/Seattle/8610-26th-Ave-NE-98115/home/317284,NWMLS,1580585,N,Y,47.6911438,-122.3001096
PAST SALE,March-25-2020,Single Family Residential,9030 2nd Ave NE,Seattle,WA,98115,860000,4,2.5,Maple Leaf,2410,8460,1940,67,357,,Sold,,,http://www.redfin.com/WA/Seattle/9030-2nd-Ave-NE-98115/home/109090,NWMLS,1566888,N,Y,47.6947863,-122.3266617
PAST SALE,April-7-2020,Single Family Residential,3011 NE 94th St,Seattle,WA,98115,780000,2,1,Wedgwood,1520,10174,1921,54,513,,Sold,,,http://www.redfin.com/WA/Seattle/3011-NE-94th-St-98115/home/316578,NWMLS,1574510,N,Y,47.6963753,-122.2953761
